Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
6,Confidence Intervals and the Normal Distribution,Mon 11/4,16,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation, Chebyshev",,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Wed 11/6,17,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,
,,Thu 11/7,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Fri 11/8,18,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,
,,Sun 11/10,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,
7,Central Limit Theorem,Mon 11/11,,No Lecture (Veterans Day 🎖️),,,,,,,,
,,Wed 11/13,19,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury",,,,"3. Quiz 3 covers Lectures 13, 15-18",
,,Thu 11/14,,,,,,,,5. Variability and the Normal Distribution,,
,,Fri 11/15,20,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,,
,,Sun 11/17,,,,,,5. The Normal Distribution and the Central Limit Theorem,,,,
8,Hypothesis and Permutation Testing,Mon 11/18,21,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,7. The Normal Distribution and the CLT,,,
,,Wed 11/20,22,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,,,,
,,Thu 11/21,,,,,,,,6. Hypothesis Testing,,
,,Fri 11/22,23,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,,
9,Prediction,Mon 11/25,24,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,4. Quiz 4 covers Lectures 19-32),
,,Tue 11/26,,,,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Wed 11/27,25,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,8. Hypothesis Testing and Permutation Testing,,,
,,Fri 11/29,,No Lecture (Thanksgiving 🦃),,,,,,,,
10,Review,Mon 12/2,26,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,9. Regression,,,
,,Tue 12/3,,,,,,Final Project,,,,
,,Wed 12/4,27,Review,,,,,,,,
,,Thu 12/5,,,,,,,,7. Regression,,
,,Fri 12/6,28,"Review, Conclusion",,,,,,,,
,,Sun 12/8,,Final Exam (11:30-2:30PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM)
