,Episode,Season,Deal,Category,Asked For,Exchange for Stake,Valuation
198,10,4,False,Entertainment,105000,20,525000
479,26,6,True,Music,725000,10,7250000
450,18,6,False,Pet Products,750000,5,15000000
212,14,4,True,Electronics,54000,26,207692
355,24,5,True,Outdoor Recreation,250000,10,2500000
130,8,3,False,Fitness Equipment,75000,15,500000
426,12,6,True,Health and Well-Being,20000,20,100000
268,2,5,True,Pet Products,150000,33,454545
1,1,1,True,Specialty Food,460000,10,4600000
364,26,5,False,Men's Accessories,50000,20,250000
442,16,6,True,Storage and Cleaning Products,300000,8,4000000
69,2,2,False,Novelties,40000,20,200000
265,1,5,True,Specialty Food,250000,10,2500000
213,14,4,False,Baby and Child Care,40000,14,285714
299,10,5,False,Specialty Food,500000,20,2500000
165,2,4,False,Consumer Services,50000,10,500000
176,5,4,True,Baby and Children's Apparel and Accessories,50000,25,200000
441,16,6,True,Storage and Cleaning Products,300000,10,3000000
399,6,6,True,Weddings,400000,10,4000000
232,19,4,False,Baby and Children's Entertainment,150000,10,1500000
107,2,3,False,Entertainment,1500000,20,7500000
429,13,6,True,Consumer Services,25000,10,250000
325,16,5,True,Specialty Food,50000,20,250000
41,9,1,False,Pet Products,300000,15,2000000
103,1,3,False,Consumer Services,100000,10,1000000
138,10,3,True,Men and Women's Apparel,300000,15,2000000
153,14,3,True,Women's Apparel,50000,5,1000000
390,3,6,False,Toys and Games,60000,30,200000
4,1,1,False,Consumer Services,1200000,10,12000000
218,15,4,False,Storage and Cleaning Products,300000,20,1500000
82,5,2,False,Novelties,500000,30,1666667
288,7,5,True,Gardening,150000,20,750000
421,11,6,True,Storage and Cleaning Products,500000,30,1666667
463,22,6,True,Party Supplies,650000,5,13000000
317,14,5,False,Baby and Children's Entertainment,250000,30,833333
147,12,3,False,Women's Apparel,57000,30,190000
185,7,4,True,Kitchen Tools,100000,10,1000000
382,1,6,True,Undergarments and Basics,200000,5,4000000
262,26,4,True,Pet Products,25000,25,100000
177,5,4,False,Personal Care and Cosmetics,50000,40,125000
373,28,5,True,Specialty Food,200000,20,1000000
51,12,1,False,Men and Women's Apparel,30000,20,150000
248,23,4,True,Specialty Food,75000,15,500000
214,14,4,False,Men and Women's Shoes,400000,8,5000000
97,9,2,False,Women's Apparel,50000,15,333333
347,22,5,True,Baby and Child Care,100000,30,333333
485,27,6,False,Specialty Food,150000,20,750000
231,19,4,False,Electronics,160000,20,800000
200,11,4,True,Holiday Cheer,150000,30,500000
419,11,6,True,Alcoholic Beverages,2500000,10,25000000
473,24,6,False,Professional Services,400000,10,4000000
404,7,6,False,Personal Care and Cosmetics,400000,15,2666667
170,3,4,True,Men and Women's Accessories,100000,20,500000
140,11,3,False,Novelties,1000000,10,10000000
10,3,1,True,Kitchen Tools,35000,35,100000
351,23,5,False,Specialty Food,500000,30,1666667
169,3,4,False,Baby and Child Care,500000,15,3333333
223,17,4,False,Women's Apparel,150000,35,428571
167,2,4,True,Mobile Apps,50000,5,1000000
250,23,4,False,Kitchen Tools,400000,25,1600000
77,4,2,True,Baby and Child Care,50000,25,200000
274,3,5,True,Baby and Child Care,200000,15,1333333
494,29,6,True,Automotive,300000,10,3000000
39,9,1,False,Electronics,1500000,10,15000000
180,6,4,False,Storage and Cleaning Products,175000,15,1166667
279,5,5,True,Baby and Children's Apparel and Accessories,600000,7,8571429
14,3,1,False,Education,155000,10,1550000
29,6,1,False,Undergarments and Basics,55000,25,220000
56,13,1,False,Specialty Food,48000,25,192000
141,11,3,False,Fitness Apparel and Accessories,500000,20,2500000
480,26,6,False,Online Services,120000,18,666667
311,13,5,False,Novelties,50000,10,500000
178,5,4,True,Homeopathic Remedies,200000,10,2000000
26,6,1,True,Specialty Food,150000,15,1000000
179,5,4,False,Specialty Food,75000,25,300000
398,5,6,False,Entertainment,100000,20,500000
435,15,6,True,Pet Products,100000,20,500000
7,2,1,False,Productivity Tools,100000,20,500000
336,19,5,False,Automotive,75000,25,300000
330,17,5,False,Specialty Food,50000,15,333333
21,5,1,False,Specialty Food,175000,25,700000
377,29,5,True,Online Services,75000,15,500000
155,14,3,True,Specialty Food,50000,10,500000
343,21,5,True,Home Security Solutions,275000,30,916667
384,2,6,False,Weddings,125000,20,625000
292,8,5,False,Pet Products,200000,20,1000000
115,4,3,True,Baby and Children's Apparel and Accessories,50000,25,200000
75,3,2,False,Storage and Cleaning Products,150000,10,1500000
458,20,6,False,Men and Women's Accessories,110000,15,733333
161,1,4,False,Consumer Services,200000,10,2000000
376,29,5,False,Toys and Games,125000,10,1250000
272,3,5,False,Kitchen Tools,50000,20,250000
434,14,6,True,Party Supplies,100000,30,333333
240,21,4,False,Costumes,100000,15,666667
166,2,4,True,Fitness Programs,150000,10,1500000
251,24,4,True,Entertainment,300000,10,3000000
488,28,6,False,Outdoor Recreation,400000,15,2666667
315,14,5,False,Personal Care and Cosmetics,100000,20,500000
383,2,6,True,Toys and Games,500000,5,10000000
23,5,1,False,Consumer Services,50000,25,200000
137,10,3,False,Specialty Food,125000,15,833333
48,11,1,True,Specialty Food,50000,10,500000
246,22,4,True,Specialty Food,75000,20,375000
316,14,5,True,Home Accessories,125000,10,1250000
208,13,4,True,Gardening,300000,12,2500000
297,9,5,False,Online Services,500000,15,3333333
368,27,5,False,Party Supplies,250000,10,2500000
113,4,3,False,Undergarments and Basics,30000,35,85714
492,29,6,True,Outdoor Recreation,100000,5,2000000
280,5,5,True,Baby and Children's Food,75000,15,500000
217,15,4,True,Novelties,90000,15,600000
400,6,6,False,Specialty Food,500000,35,1428571
395,5,6,True,Novelties,300000,5,6000000
171,3,4,False,Specialty Food,200000,10,2000000
396,5,6,True,Women's Apparel,600000,5,12000000
94,8,2,True,Electronics,150000,15,1000000
197,10,4,False,Weddings,35000,10,350000
158,15,3,False,Fitness Equipment,250000,10,2500000
55,13,1,True,Personal Care and Cosmetics,105000,30,350000
418,10,6,False,Specialty Food,100000,15,666667
136,10,3,False,Men and Women's Shoes,125000,15,833333
52,12,1,True,Outdoor Recreation,40000,40,100000
50,11,1,True,Outdoor Recreation,500000,20,2500000
2,1,1,True,Baby and Child Care,50000,15,333333
249,23,4,True,Specialty Food,200000,20,1000000
199,11,4,False,Women's Accessories,100000,20,500000
372,28,5,True,Outdoor Recreation,500000,12,4166667
79,4,2,True,Novelties,50000,20,250000
266,1,5,True,Online Services,300000,5,6000000
117,5,3,False,Novelties,30000,25,120000
164,2,4,False,Specialty Food,250000,33,757576
187,7,4,True,Cycling,300000,10,3000000
144,12,3,False,Women's Accessories,540000,20,2700000
286,6,5,False,Novelties,50000,20,250000
388,3,6,False,Music,150000,5,3000000
78,4,2,False,Specialty Food,25000,20,125000
261,26,4,True,Specialty Food,600000,10,6000000
81,5,2,True,Automotive,100000,5,2000000
333,18,5,False,Baby and Children's Bedding,75000,20,375000
440,16,6,False,Online Services,50000,5,1000000
282,5,5,False,Personal Care and Cosmetics,50000,20,250000
95,8,2,True,Productivity Tools,500000,40,1250000
90,7,2,False,Baby and Child Care,30000,15,200000
233,19,4,True,Fitness Programs,120000,25,480000
374,28,5,True,Alcoholic Beverages,150000,35,428571
345,21,5,False,Personal Care and Cosmetics,25000,20,125000
267,2,5,True,Automotive,250000,10,2500000
34,8,1,False,Undergarments and Basics,50000,25,200000
335,19,5,False,Baby and Children's Apparel and Accessories,80000,20,400000
